ID,condition,trial,object,choice
153,ISO,main,B,0.793
154,ISO,main,C,0.793
155,ISO,main,A,0.369
156,ISO,main,B,0.793
157,ISO,main,C,0.793
158,ISO,main,A,0.369
159,ISO,main,B,0.793
160,ISO,main,C,0.793
161,ISO,control,A,0.793
162,ISO,control,B,0.793
163,ISO,control,C,0.793
164,ISO,control,D,0.207
165,ISO,control,A,0.793
166,ISO,control,B,0.793
167,ISO,control,C,0.793
168,ISO,control,D,0.207
169,ISO,control,A,0.793
170,ISO,control,B,0.793
171,ISO,control,C,0.793
172,ISO,control,D,0.207
173,ISO,control,A,0.793
174,ISO,control,B,0.793
175,ISO,control,C,0.793
176,ISO,control,D,0.207
177,ISO,control,A,0.793
178,ISO,control,B,0.793
179,ISO,control,C,0.793
180,ISO,control,D,0.207
181,ISO,control,A,0.793
182,ISO,control,B,0.793
183,ISO,control,C,0.793
184,ISO,control,D,0.207
185,ISO,control,A,0.793
186,ISO,control,B,0.793
187,ISO,control,C,0.793
188,ISO,control,D,0.207
189,ISO,control,A,0.793
190,ISO,control,B,0.793
191,ISO,control,C,0.793
192,ISO,control,D,0.207
193,ISO,control,A,0.793
194,ISO,control,B,0.793
195,ISO,control,C,0.793
196,ISO,control,D,0.207
197,ISO,control,A,0.793
198,ISO,control,B,0.793
199,ISO,control,C,0.793
200,ISO,control,D,0.207
201,ISO,control,A,0.793
202,ISO,control,B,0.793
203,ISO,control,C,0.793
204,ISO,control,D,0.207
205,ISO,control,A,0.793
206,ISO,control,B,0.793
207,ISO,control,C,0.793
208,ISO,control,D,0.207
209,ISO,control,A,0.793
210,ISO,control,B,0.793
211,ISO,control,C,0.793
212,ISO,control,D,0.207
213,ISO,control,A,0.793
214,ISO,control,B,0.793
215,ISO,control,C,0.793
216,ISO,control,D,0.207
217,ISO,control,A,0.793
218,ISO,control,B,0.793
219,ISO,control,C,0.793
220,ISO,control,D,0.207
221,ISO,control,A,0.793
222,ISO,control,B,0.793
223,ISO,control,C,0.793
224,ISO,control,D,0.207
